date,CSI,DJI
2019-06-20,0.00141468951327361,-0.00127318273566779
2019-06-21,0.00191004603873779,0.000314706232190432
2019-06-24,-0.0104572969211141,-0.00673179236436816
2019-06-25,-0.0018378969948003,-0.000429499541686695
2019-06-26,0.0106146504313998,-0.000385953411472073
2019-06-27,-0.00240979385349682,0.00276246285434034
2019-06-28,0.0284040019176803,0.00440644938074364
2019-07-01,0.000345485448590921,0.00258858763071146
2019-07-02,-0.0111459899608999,0.00667206417330313
2019-07-03,-8.47595846256155e-05,-0.00162855967876574
2019-07-05,-0.0234964337122374,-0.00431728777911644
2019-07-08,-0.00254347207652117,-0.000845312846859514
2019-07-09,-0.00168604514688653,0.00285998417661126
2019-07-10,-0.000401481259917347,0.00844814163993668
2019-07-11,0.00619179086273292,0.0089654958087575
