日期,人数,新增
2020-07-26T00:00:00Z,61,确诊
2020-07-27T00:00:00Z,68,确诊
2020-07-28T00:00:00Z,101,确诊
2020-07-29T00:00:00Z,105,确诊
2020-07-30T00:00:00Z,127,确诊
2020-07-31T00:00:00Z,45,确诊
2020-08-01T00:00:00Z,48,确诊
2020-08-02T00:00:00Z,43,确诊
2020-08-03T00:00:00Z,36,确诊
2020-08-04T00:00:00Z,27,确诊
2020-08-05T00:00:00Z,37,确诊
2020-08-06T00:00:00Z,37,确诊
2020-08-07T00:00:00Z,31,确诊
2020-08-08T00:00:00Z,23,确诊
2020-08-09T00:00:00Z,49,确诊
2020-08-10T00:00:00Z,44,确诊
2020-08-11T00:00:00Z,19,确诊
2020-08-12T00:00:00Z,25,确诊
2020-08-13T00:00:00Z,30,确诊
2020-08-14T00:00:00Z,22,确诊
2020-08-15T00:00:00Z,19,确诊
2020-08-16T00:00:00Z,22,确诊
2020-08-17T00:00:00Z,22,确诊
2020-08-18T00:00:00Z,17,确诊
2020-08-19T00:00:00Z,7,确诊
2020-08-20T00:00:00Z,22,确诊
2020-08-21T00:00:00Z,22,确诊
2020-08-22T00:00:00Z,12,确诊
2020-08-23T00:00:00Z,16,确诊
2020-08-24T00:00:00Z,14,确诊
2020-08-25T00:00:00Z,15,确诊
2020-08-26T00:00:00Z,8,确诊
2020-08-27T00:00:00Z,9,确诊
2020-08-28T00:00:00Z,9,确诊
2020-08-29T00:00:00Z,9,确诊
2020-08-30T00:00:00Z,17,确诊
2020-08-31T00:00:00Z,10,确诊
2020-09-01T00:00:00Z,7,确诊
2020-09-02T00:00:00Z,12,确诊
2020-09-03T00:00:00Z,25,确诊
2020-09-04T00:00:00Z,10,确诊
2020-09-05T00:00:00Z,10,确诊
2020-09-06T00:00:00Z,12,确诊
2020-09-07T00:00:00Z,9,确诊
2020-09-08T00:00:00Z,3,确诊
2020-09-09T00:00:00Z,7,确诊
2020-09-10T00:00:00Z,15,确诊
2020-09-11T00:00:00Z,6,确诊
2020-09-12T00:00:00Z,10,确诊
2020-09-13T00:00:00Z,10,确诊
2020-09-14T00:00:00Z,8,确诊
2020-09-15T00:00:00Z,12,确诊
2020-09-16T00:00:00Z,9,确诊
2020-09-17T00:00:00Z,32,确诊
2020-09-18T00:00:00Z,14,确诊
2020-09-19T00:00:00Z,10,确诊
2020-09-20T00:00:00Z,12,确诊
2020-09-21T00:00:00Z,6,确诊
2020-09-22T00:00:00Z,10,确诊
2020-09-23T00:00:00Z,7,确诊
2020-09-24T00:00:00Z,8,确诊
2020-09-25T00:00:00Z,15,确诊
2020-09-26T00:00:00Z,14,确诊
2020-09-27T00:00:00Z,21,确诊
2020-09-28T00:00:00Z,12,确诊
2020-09-29T00:00:00Z,19,确诊
2020-09-30T00:00:00Z,9,确诊
2020-10-01T00:00:00Z,12,确诊
2020-10-02T00:00:00Z,10,确诊
2020-10-03T00:00:00Z,16,确诊
2020-10-04T00:00:00Z,20,确诊
2020-10-05T00:00:00Z,12,确诊
2020-10-06T00:00:00Z,7,确诊
2020-10-07T00:00:00Z,9,确诊
2020-10-08T00:00:00Z,23,确诊
2020-10-09T00:00:00Z,15,确诊
2020-10-10T00:00:00Z,21,确诊
2020-10-11T00:00:00Z,27,确诊
2020-10-12T00:00:00Z,7,确诊
2020-10-13T00:00:00Z,20,确诊
2020-10-14T00:00:00Z,11,确诊
2020-10-15T00:00:00Z,24,确诊
2020-10-16T00:00:00Z,13,确诊
2020-10-17T00:00:00Z,13,确诊
2020-10-18T00:00:00Z,13,确诊
